trial_id,filename,model,model_short,model_tier,provider,condition,task,trial_type,trial_number,session_date,temperature,first_tac_index,dialogue_turns_before_first_tac,asked_about_features,asked_about_location,asked_about_danny_location,precondition_coverage,hallucinated_features,hallucinated_location,premature_action,diagnostic_category,diagnostic_source_order,log_anchoring_type,hypotheses_count_grounded,hypotheses_count_log_derived,diagnostic_knowledge_ratio,log_data_misinterpretation,valid_causes,invalid_causes,diagnostic_validity,expresses_uncertainty_in_diagnosis,communication_milestone_count,appropriate_communication,fetch_request_turn,fetch_action_type,correct_action_selection,consequence_reasoning_evidence,compensation_attempted,action_loop_in_fetch,corrective_tac_count,cascade_pattern,cascade_severity,spatial_state_maintained,time_to_first_action,decision_points_traceable,decision_points_opaque,traceability_rate,hallucinated_commands,hallucinated_facts,valid_commands,invalid_commands,command_validity_rate,queried_fetch_procedure,fetch_procedure_followed,queried_diagnose_procedure,diagnose_procedure_followed,queried_resolve_procedure,resolve_procedure_followed,queried_search_procedure,search_procedure_followed,kb_queries_before_first_tac,total_kb_queries,queried_logs,searchlogs_before_diagnosis,total_log_queries,log_queries_before_first_tac,task_completed,termination_reason,action_loop_detected,total_tac_commands,total_sac_commands,total_commands,unique_tac_types_used,total_time_seconds,mean_response_time_ms,sd_response_time_ms,max_response_time_ms,prompts,input_tokens,output_tokens,total_tokens,coding_status,flagged,coding_notes,,,
claude-haiku-4-5-20251001_knowledge-equalized_maintenance_1,claude-haiku-4-5-20251001_knowledge-equalized_maintenance_1.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,knowledge-equalized,maintenance,standard,1,"2/25/2026, 6:40:32 PM",1,3,10,1,1,0,1,0,0,0,domain_grounded,domain_first,deprioritize_correct,5,3,0.625,,thermostat_failure,,1,0,5,1,7,SEARCH,1,,,,,,,,32,5,2,0.7142857142857143,0,0,4,0,1,1,1,1,1,0,,0,,2,2,1,0,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,99,1640,1274,5487,45,417224,1710,418934,complete,0,
claude-haiku-4-5-20251001_knowledge-equalized_maintenance_2,claude-haiku-4-5-20251001_knowledge-equalized_maintenance_2.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,knowledge-equalized,maintenance,standard,2,"2/25/2026, 6:42:38 PM",1,3,10,1,1,0,1,0,0,0,domain_grounded,domain_first,correct_separation,5,3,0.625,,thermostat_failure,,1,1,5,1,7,SEARCH,1,,,,,,,,36,5,2,0.7142857142857143,0,0,4,0,1,1,1,1,1,0,,0,,2,2,1,0,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,99,1594,1303,5232,49,452458,1694,454152,complete,0,
claude-haiku-4-5-20251001_knowledge-equalized_maintenance_3,claude-haiku-4-5-20251001_knowledge-equalized_maintenance_3.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,knowledge-equalized,maintenance,standard,3,"2/25/2026, 6:44:50 PM",1,3,10,1,1,0,1,0,0,0,domain_grounded,domain_first,correct_separation,5,4,0.5555555555555556,,thermostat_failure,,1,1,5,1,7,SEARCH,1,,,,,,,,46,4,3,0.5714285714285714,0,0,4,0,1,1,0,1,1,0,,0,,2,2,1,0,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,120,1379,1137,5242,55,527992,1897,529889,complete,0,
claude-haiku-4-5-20251001_knowledge-equalized_maintenance_4,claude-haiku-4-5-20251001_knowledge-equalized_maintenance_4.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,knowledge-equalized,maintenance,standard,4,"2/25/2026, 6:47:23 PM",1,3,10,1,1,0,1,0,0,0,domain_grounded,domain_first,correct_separation,6,4,0.6,,thermostat_failure,,1,1,5,1,7,SEARCH,1,,,,,,,,39,5,2,0.7142857142857143,0,0,4,0,1,1,1,1,1,0,,0,,2,2,1,0,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,103,1555,1556,7494,47,432106,1800,433906,complete,0,
claude-haiku-4-5-20251001_knowledge-equalized_maintenance_5,claude-haiku-4-5-20251001_knowledge-equalized_maintenance_5.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,knowledge-equalized,maintenance,standard,5,"2/25/2026, 6:49:33 PM",1,3,10,1,1,0,1,0,0,0,domain_grounded,domain_first,correct_separation,5,3,0.625,,thermostat_failure,,1,1,5,1,7,SEARCH,1,,,,,,,,36,5,2,0.7142857142857143,0,0,4,0,1,1,1,1,1,0,,0,,2,2,1,0,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,100,1406,1154,5355,48,461225,1704,462929,complete,0,
claude-haiku-4-5-20251001_no-plans_maintenance_1,claude-haiku-4-5-20251001_no-plans_maintenance_1.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,no-plans,maintenance,standard,1,"2/25/2026, 3:50:56 PM",1,1,7,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,0,3,0,,thermostat_failure,,1,0,3,1,6,WAYPOINT,0,,0,0,2,backtrack_circle,circling,,47,2,1,0.6666666666666666,2,0,2,-1,2,,,,,,,,,,,,,,,0,incomplete,0,1,1,2,WAYPOINT,SEARCH,80,1455,1369,6139,36,270213,1064,271277,complete,0,Stopped manually,,
claude-haiku-4-5-20251001_no-plans_maintenance_2,claude-haiku-4-5-20251001_no-plans_maintenance_2.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,no-plans,maintenance,standard,2,"2/25/2026, 6:35:16 PM",1,1,6,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,0,4,0,,thermostat_failure,,1,0,2,0,6,WAYPOINT,0,,0,0,2,loop,circling,,21,2,1,0.6666666666666666,1,0,1,0,1,,,,,,,,,,,,,,,0,incomplete,0,1,1,2,WAYPOINT,45,1699,2338,8852,20,128982,845,129827,complete,0,Stopped manually,,,
claude-haiku-4-5-20251001_no-plans_maintenance_3,claude-haiku-4-5-20251001_no-plans_maintenance_3.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,no-plans,maintenance,standard,3,"2/25/2026, 6:36:43 PM",1,1,6,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,,4,,,thermostat_failure,,1,0,2,0,6,WAYPOINT,0,,0,0,0,hallucinated_success,circling,,19,2,1,0.6666666666666666,1,0,1,0,1,,,,,,,,,,,,,,,0,incomplete,0,1,1,2,WAYPOINT,30,1798,1615,5368,15,86208,741,86949,complete,0,Stopped manually,,,
claude-haiku-4-5-20251001_no-plans_maintenance_4,claude-haiku-4-5-20251001_no-plans_maintenance_4.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,no-plans,maintenance,standard,4,"2/25/2026, 6:37:37 PM",1,1,6,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,,4,,,thermostat_failure,,1,0,2,0,6,WAYPOINT,0,,1,0,2,hallucinated_success,circling,,18,2,1,0.6666666666666666,1,0,1,0,1,,,,,,,,,,,,,,,0,incomplete,0,1,1,2,WAYPOINT,28,1801,2150,7316,14,79825,746,80571,complete,0,Stopped manually,,,
claude-haiku-4-5-20251001_no-plans_maintenance_5,claude-haiku-4-5-20251001_no-plans_maintenance_5.json,claude-haiku-4-5-20251001,claude-haiku-4.5,,anthropic,no-plans,maintenance,standard,5,"2/25/2026, 6:39:35 PM",1,1,6,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,1,4,0.2,,thermostat_failure,,1,0,2,0,6,WAYPOINT,0,,1,0,2,hallucinated_success,circling,,17,2,1,0.6666666666666666,1,0,1,0,1,,,,,,,,,,,,,,,0,incomplete,0,1,1,2,WAYPOINT,26,2000,1856,5943,11,66813,801,67614,complete,0,Stopped manually,,,
claude-opus-4-6_knowledge-equalized_maintenance_1,claude-opus-4-6_knowledge-equalized_maintenance_1.json,claude-opus-4-6,claude-opus-4.6,,anthropic,knowledge-equalized,maintenance,standard,1,"2/25/2026, 6:32:16 PM",1,3,9,1,1,0,1,0,0,0,data_anchored,logs_first,paraphrase_only,,4,,,thermostat_failure,,1,1,5,1,6,SEARCH,1,,,,,,,,41,5,2,0.7142857142857143,0,1,4,0,1,1,1,1,,0,,0,,2,2,1,1,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,118,2900,2272,11305,43,415751,1690,417441,complete,0,
